"Latitude","Longitude","Superficie","Volumeobligatoiretotalm","vol_SEPM_O","vol_SEPM_T","vol_OSW_O","vol_OSW_T","vol_HW_O","vol_HW_T,"Prixdevente"
46.909654,-70.381578,38,4190,3150,950,60,20,0,10,135861
46.820598,-70.521041,25,2600,1710,420,50,50,110,260,NA
46.488971,-71.750086,109,10490,5600,1000,860,730,570,1730,235871
46.459416,-70.087397,254,19440,12260,4320,800,900,260,900,481656.6
48.702247,-75.169435,104,9920,7560,2360,0,0,0,0,183160
46.966435,-73.062317,286,19320,7400,2050,1700,1660,810,5700,81675
47.85797,-73.25286,212,33610,20400,5150,200,3910,1100,2850,NA
47.19048,-73.070398,133,12570,4600,2350,450,3250,320,1600,NA
47.584656,-72.853598,436,34350,15800,3860,60,4710,4410,5510,NA
47.764635,-72.414586,377,25710,10200,3100,50,960,4050,7350,NA
46.726209,-72.983686,473,48340,15310,4860,500,6170,3600,17900,217427.5
47.690284,-71.386327,188,19870,8460,10410,0,0,0,1000,NA
47.664618,-71.360494,97,12160,5200,6410,0,0,0,550,41735
48.524024,-74.0603,473,39450,29860,9590,0,0,0,0,715975
47.747492,-73.671406,232,34860,20650,6000,0,2450,760,5000,604390
48.503683,-74.097482,642,50250,38900,11350,0,0,0,0,922960
46.389906,-70.42719,93,5720,4090,900,0,100,120,510,94260
47.689758,-71.376963,188,17970,8460,8510,0,0,0,1000,NA
47.483457,-72.529643,499,42140,21500,5200,10,10,4360,11060,510192
48.515246,-75.074946,189,14410,11950,2460,0,0,0,0,250271.6
48.496304,-75.124796,236,18340,14300,4040,0,0,0,0,337953.2
47.839803,-73.461084,351,35430,12250,2180,0,11850,2000,7150,NA
47.456998,-71.481608,124,11180,5150,4380,0,0,0,1650,NA
47.55878,-71.526196,106,10800,4100,3650,0,0,0,3050,NA
47.646758,-71.467802,289,27950,14100,13250,0,0,0,600,NA
47.746412,-70.905742,78,2640,1550,1090,0,0,0,0,NA
48.128147,-70.741283,106,8810,4460,1150,0,2150,50,1000,52970
47.856636,-70.253885,70,2170,800,1300,0,60,0,10,NA
48.729642,-75.085696,296,24030,18450,5580,0,0,0,0,540610
47.075813,-73.59215,363,46120,27650,7300,100,3360,1710,6000,772623
47.041872,-73.672662,256,34620,7260,1910,550,13850,2150,8900,207407
47.314197,-73.119043,126,17800,4150,1000,360,5920,1410,4960,105973.5
48.147393,-73.553763,306,24790,18800,4040,0,800,250,900,NA
47.802672,-70.71355,32,1940,1250,550,0,60,20,60,NA
47.033235,-72.517634,266,29920,16900,3290,110,710,2360,6550,NA
47.963796,-72.486525,292,19150,9500,2130,50,70,2400,5000,NA
46.923237,-73.052137,103,15200,5400,1280,1200,2610,860,3850,188810
47.68866,-71.316032,114,9280,4260,4850,0,0,10,160,24495
47.629175,-71.318756,80,7450,3250,4100,0,0,0,100,NA
48.160706,-70.572732,171,9680,3750,890,10,310,1220,3500,NA
46.931534,-73.420646,367,29900,11600,3880,3900,2850,2060,5610,NA
47.167891,-72.684088,639,59960,21650,4840,4010,2960,7450,19050,602277.5
47.606782,-72.808785,184,20660,11850,2550,0,5000,310,950,240840.5
47.989436,-69.867162,327,21950,7100,1800,250,4550,1300,6950,NA
48.085143,-69.961179,279,25590,7900,1640,0,7600,1750,6700,110745
46.955079,-73.372606,227,29660,16800,4540,950,1320,800,5250,NA
47.153254,-73.563863,80,10910,3950,1150,200,2600,560,2450,104979.5
47.213782,-72.335182,339,25520,16450,2750,910,1010,1050,3350,483885
47.843946,-72.238514,266,24210,12950,1300,0,0,2660,7300,NA
47.258363,-73.262348,234,29260,11450,1340,0,4900,2120,9450,329388.8
47.939996,-73.197827,290,29200,16100,1600,0,1750,2450,7300,216631.5
47.417867,-73.839541,315,37300,22600,3150,3600,2800,1750,3400,597795
47.716326,-72.81475,380,23370,12300,1850,0,550,2810,5860,NA
47.689952,-72.290657,257,15900,8450,1090,0,750,1860,3750,NA
47.911055,-72.999052,216,18310,8800,1450,0,2150,1460,4450,163670.5
48.033768,-73.635809,371,30740,26200,4390,0,0,150,0,564481
48.224208,-75.096065,294,29990,25100,4890,0,0,0,0,804898.5
47.510696,-73.37459,143,20220,9650,500,50,6560,760,2700,277786
47.141419,-71.969166,269,22940,16600,1940,0,0,1450,2950,285510
48.745344,-75.108138,138,9190,7600,1590,0,0,0,0,220149
47.222703,-73.055261,136,15140,5900,900,350,4310,880,2800,172930.5
47.121733,-72.589822,58,6320,3800,550,300,760,160,750,114240
47.687863,-71.380931,188,17970,8460,8510,0,0,0,1000,42229.5
47.079534,-72.568739,302,22730,10110,1190,360,960,2360,7750,296427.5
47.356352,-72.465864,500,31960,10850,1850,0,750,5860,12650,NA
47.365506,-72.458875,118,8790,4150,640,0,0,1200,2800,NA
47.210676,-72.970382,31,3660,1700,240,60,970,220,470,39300
47.075397,-73.361423,185,15220,6750,750,400,2350,960,4010,NA
45.533449,-71.113841,485,12700,9860,2840,0,0,0,0,246527.5
46.74969,-73.431732,211,28510,8500,1150,4150,3510,3550,7650,NA
48.360796,-75.278045,198,18450,15650,2800,0,0,0,0,423150
48.123832,-70.275908,134,6630,2650,350,0,50,1020,2560,23962.5
46.523178,-73.315977,579,48140,25200,5340,410,4470,2510,10210,NA
48.171412,-70.752137,341,39650,13800,2800,0,18900,600,3550,163950
47.904171,-70.106179,151,5920,5350,0,0,250,10,310,NA
48.905106,-74.855109,203,13390,10600,2790,0,0,0,0,321135
46.700444,-72.986953,68,5200,2250,190,200,450,650,1460,30193.5
46.694817,-72.971691,58,5720,2750,650,50,750,170,1350,42710
48.179935,-74.864169,252,20850,18700,2100,0,0,50,0,551499.2
47.56707,-73.209643,209,22450,7150,890,650,6900,1110,5750,210954
47.556067,-72.95072,140,16940,5650,240,0,5600,800,4650,175980
47.831449,-73.529323,443,57110,20250,1750,0,19350,3310,12450,261697.5
48.151656,-73.55857,306,22190,19450,2490,0,0,250,0,NA
46.745566,-73.338626,385,44590,22350,2500,2650,3150,3080,10860,389630
47.12751,-73.1636,135,17050,8400,750,1150,1750,1750,3250,154390
46.642828,-73.51552,251,30170,14350,1800,3310,1260,1850,7600,274200
47.376727,-71.534398,0,0,0,0,0,0,0,0,NA
46.766683,-73.215287,279,19080,6900,800,1350,260,3060,6710,80125
48.033409,-73.682434,289,12190,10400,1690,0,0,100,0,141663
47.151936,-73.204887,208,30920,12350,1800,300,6120,3000,7350,329004
45.749844,-70.411136,173,9500,5350,300,10,10,1170,2660,87865
45.470463,-71.078003,131,6760,5800,960,0,0,0,0,169000
46.487645,-71.883472,35,3940,1960,100,500,450,270,660,NA
46.659194,-70.374225,82,6010,4200,50,0,0,510,1250,NA
47.839803,-73.461084,324,35050,12950,1100,0,11850,2000,7150,355224.5
48.0723,-73.629755,728,39160,35060,3750,0,0,350,0,NA
46.782042,-69.914152,88,6680,2650,390,800,960,560,1320,218430
46.836635,-70.043006,73,5870,2400,300,1400,650,460,660,186810
46.632685,-73.005294,70,6500,3600,300,550,220,420,1410,84691
46.786569,-73.251854,242,20110,6810,1410,2110,1510,2660,5610,NA
47.382555,-71.534407,195,8220,3950,3640,0,10,10,610,43050.5
46.74969,-73.431732,211,28510,8500,1150,4150,3510,3550,7650,85595
47.33794,-73.919355,381,42000,16900,2550,1100,5150,6000,10300,360175
47.307538,-72.461278,616,55060,36650,4850,50,10,3350,10150,1347840
48.056771,-74.717079,348,27600,21550,4500,0,0,1550,0,601400
47.949652,-72.992479,310,23800,10600,1340,200,7460,1550,2650,66500
47.509522,-73.211247,162,21760,13000,1250,50,1950,1610,3900,400337.5
47.892725,-74.432641,272,29860,13510,2650,0,13350,350,0,378210
47.511589,-73.547173,168,16610,11000,1050,0,1750,360,2450,298250
47.282826,-73.68336,120,10390,5850,550,50,410,1070,2460,140104
47.325414,-73.669738,176,17660,8100,1550,100,5210,950,1750,243585
